name,eyeColor,hairColor,height,weight,passportId,nationality,coordX,coordY,locationName,locationX,locationY
IP 1,GREEN,BLACK,180,75,IP001,USA,10,10,ILoc 1,100,100
IP 2,GREEN,BLACK,180,75,IP002,USA,10,10,ILoc 2,100,100
IP 3,GREEN,BLACK,180,75,IP003,USA,10,10,ILoc 3,100,100
IP 4,GREEN,BLACK,180,75,IP004,USA,10,10,ILoc 4,100,100
IP 5,GREEN,BLACK,180,75,IP005,USA,10,10,ILoc 5,100,100
IP 6,GREEN,BLACK,180,75,IP006,USA,10,10,ILoc 6,100,100
IP 7,GREEN,BLACK,180,75,IP007,USA,10,10,ILoc 7,100,100
IP 8,GREEN,BLACK,180,75,IP008,USA,10,10,ILoc 8,100,100
IP 9,GREEN,BLACK,180,75,IP009,USA,10,10,ILoc 9,100,100
IP 10,GREEN,BLACK,180,75,IP0010,USA,10,10,ILoc 10,100,100
IP 11,GREEN,BLACK,180,75,IP0011,USA,10,10,ILoc 11,100,100
IP 12,GREEN,BLACK,180,75,IP0012,USA,10,10,ILoc 12,100,100
IP 13,GREEN,BLACK,180,75,IP0013,USA,10,10,ILoc 13,100,100
IP 14,GREEN,BLACK,180,75,IP0014,USA,10,10,ILoc 14,100,100
IP 15,GREEN,BLACK,180,75,IP0015,USA,10,10,ILoc 15,100,100
IP 16,GREEN,BLACK,180,75,IP0016,USA,10,10,ILoc 16,100,100
IP 17,GREEN,BLACK,180,75,IP0017,USA,10,10,ILoc 17,100,100
IP 18,GREEN,BLACK,180,75,IP0018,USA,10,10,ILoc 18,100,100
IP 19,GREEN,BLACK,180,75,IP0019,USA,10,10,ILoc 19,100,100
IP 20,GREEN,BLACK,180,75,IP0020,USA,10,10,ILoc 20,100,100
IP 21,GREEN,BLACK,180,75,IP0021,USA,10,10,ILoc 21,100,100
IP 22,GREEN,BLACK,180,75,IP0022,USA,10,10,ILoc 22,100,100
IP 23,GREEN,BLACK,180,75,IP0023,USA,10,10,ILoc 23,100,100
IP 24,GREEN,BLACK,180,75,IP0024,USA,10,10,ILoc 24,100,100
IP 25,GREEN,BLACK,180,75,IP0025,USA,10,10,ILoc 25,100,100
IP 26,GREEN,BLACK,180,75,IP0026,USA,10,10,ILoc 26,100,100
IP 27,GREEN,BLACK,180,75,IP0027,USA,10,10,ILoc 27,100,100
IP 28,GREEN,BLACK,180,75,IP0028,USA,10,10,ILoc 28,100,100
IP 29,GREEN,BLACK,180,75,IP0029,USA,10,10,ILoc 29,100,100
IP 30,GREEN,BLACK,180,75,IP0030,USA,10,10,ILoc 30,100,100
IP 31,GREEN,BLACK,180,75,IP0031,USA,10,10,ILoc 31,100,100
IP 32,GREEN,BLACK,180,75,IP0032,USA,10,10,ILoc 32,100,100
IP 33,GREEN,BLACK,180,75,IP0033,USA,10,10,ILoc 33,100,100
IP 34,GREEN,BLACK,180,75,IP0034,USA,10,10,ILoc 34,100,100
IP 35,GREEN,BLACK,180,75,IP0035,USA,10,10,ILoc 35,100,100
IP 36,GREEN,BLACK,180,75,IP0036,USA,10,10,ILoc 36,100,100
IP 37,GREEN,BLACK,180,75,IP0037,USA,10,10,ILoc 37,100,100
IP 38,GREEN,BLACK,180,75,IP0038,USA,10,10,ILoc 38,100,100
IP 39,GREEN,BLACK,180,75,IP0039,USA,10,10,ILoc 39,100,100
IP 40,GREEN,BLACK,180,75,IP0040,USA,10,10,ILoc 40,100,100
IP 41,GREEN,BLACK,180,75,IP0041,USA,10,10,ILoc 41,100,100
IP 42,GREEN,BLACK,180,75,IP0042,USA,10,10,ILoc 42,100,100
IP 43,GREEN,BLACK,180,75,IP0043,USA,10,10,ILoc 43,100,100
IP 44,GREEN,BLACK,180,75,IP0044,USA,10,10,ILoc 44,100,100
IP 45,GREEN,BLACK,180,75,IP0045,USA,10,10,ILoc 45,100,100
IP 46,GREEN,BLACK,180,75,IP0046,USA,10,10,ILoc 46,100,100
IP 47,GREEN,BLACK,180,75,IP0047,USA,10,10,ILoc 47,100,100
IP 48,GREEN,BLACK,180,75,IP0048,USA,10,10,ILoc 48,100,100
IP 49,GREEN,BLACK,180,75,IP0049,USA,10,10,ILoc 49,100,100
